,May 2021 selloff,Terra/LUNA,FTX collapse,USDC depeg
May 2021 selloff,1.0,0.6350649350649351,0.6766233766233766,0.512987012987013
Terra/LUNA,0.6350649350649351,1.0,0.5103896103896104,0.7207792207792209
FTX collapse,0.6766233766233766,0.5103896103896104,1.0,0.551948051948052
USDC depeg,0.512987012987013,0.7207792207792209,0.551948051948052,1.0
