,May 2021 selloff,Terra/LUNA,FTX collapse,USDC depeg
May 2021 selloff,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855
Terra/LUNA,0.6666666666666666,1.0,0.42857142857142855,0.6666666666666666
FTX collapse,0.42857142857142855,0.42857142857142855,1.0,0.6666666666666666
USDC depeg,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0
